"Account.External_Account_Name__c","LastName","FirstName","MiddleName","Suffix","RecordType.Name","OtherStreet","OtherCity","OtherState","OtherPostalCode","MailingStreet","MailingCity","MailingState","MailingPostalCode","MobilePhone","HomePhone","OtherPhone","Email","Birthdate","Deleted__c","External_Guarantor_Id__c","External_ID__c","Guarantor__r.Guarantor_Id__c","Invoice_Offset_Date__c","Medical_Record_Number__c","Origin_Code__c","Patient_Id__c","Guarantor_Id__c","Sex__c","Social_Security_Number__c"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200068.0","","M","XXX-XX-1059"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200079.0","","F","XXX-XX-3066"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200016.0","","M","XXX-XX-2475"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200049.0","","F","XXX-XX-5818"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200011.0","","F","XXX-XX-4333"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200052.0","","M","XXX-XX-0842"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200053.0","","F","XXX-XX-0246"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200031.0","","F","XXX-XX-5162"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200069.0","","F","XXX-XX-6656"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200025.0","","F","XXX-XX-8226"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200009.0","","F","XXX-XX-9116"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200014.0","","M","XXX-XX-4244"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200064.0","","M","XXX-XX-5411"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200065.0","","F","XXX-XX-4322"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200018.0","","M","XXX-XX-5510"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200019.0","","F","XXX-XX-2028"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200074.0","","M","XXX-XX-4888"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200076.0","","M","XXX-XX-4328"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200030.0","","M","XXX-XX-8922"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200048.0","","M","XXX-XX-6610"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200003.0","","F","XXX-XX-7223"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200073.0","","F","XXX-XX-5795"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200036.0","","M","XXX-XX-7321"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200055.0","","F","XXX-XX-2913"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200034.0","","M","XXX-XX-5335"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200057.0","","F","XXX-XX-4588"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200063.0","","F","XXX-XX-3400"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200071.0","","F","XXX-XX-8284"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200066.0","","M","XXX-XX-2277"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200075.0","","F","XXX-XX-5208"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200021.0","","F","XXX-XX-6836"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200005.0","","F","XXX-XX-4969"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200027.0","","F","XXX-XX-8933"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200038.0","","M","XXX-XX-4490"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200051.0","","F","XXX-XX-7583"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200078.0","","M","XXX-XX-8743"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200056.0","","M","XXX-XX-1838"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200043.0","","F","XXX-XX-9872"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200017.0","","F","XXX-XX-7302"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200004.0","","M","XXX-XX-5745"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200077.0","","F","XXX-XX-5107"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200044.0","","M","XXX-XX-0690"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200007.0","","F","XXX-XX-8062"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200023.0","","F","XXX-XX-1982"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200024.0","","M","XXX-XX-3322"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200050.0","","M","XXX-XX-6919"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200026.0","","M","XXX-XX-6403"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200058.0","","M","XXX-XX-9565"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200012.0","","M","XXX-XX-8674"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200059.0","","F","XXX-XX-8927"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200062.0","","M","XXX-XX-9788"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200067.0","","F","XXX-XX-4078"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200002.0","","M","XXX-XX-9174"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200046.0","","M","XXX-XX-1347"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200041.0","","F","XXX-XX-4599"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200006.0","","M","XXX-XX-1814"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200054.0","","M","XXX-XX-5305"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200008.0","","M","XXX-XX-4377"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200013.0","","F","XXX-XX-6561"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200000.0","","M","XXX-XX-6063"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200042.0","","M","XXX-XX-7011"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200060.0","","M","XXX-XX-3293"
"Makana Health","Green","Charles","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","","A02497658","","","A02497658","TOLEDO_STAR","200070.0","","M","XXX-XX-0187"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200001.0","","F","XXX-XX-1792"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200039.0","","F","XXX-XX-0380"
"Makana Health","Green","Grace","","","Patient","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","2003-12-31","false","","A00342616","","","A00342616","TOLEDO_STAR","200035.0","","F","XXX-XX-4632"
