"Account.External_Account_Name__c","LastName","FirstName","MiddleName","Suffix","RecordType.Name","OtherStreet","OtherCity","OtherState","OtherPostalCode","MailingStreet","MailingCity","MailingState","MailingPostalCode","MobilePhone","HomePhone","OtherPhone","Email","Birthdate","Deleted__c","External_Guarantor_Id__c","External_ID__c","Guarantor__r.Profile_Pointer_ID__c","Invoice_Offset_Date__c","Medical_Record_Number__c","Origin_Code__c","Patient_Id__c","Preferred_Contact__c","Profile_Pointer_ID__c","Sex__c","Skip_Invoice_Stmt_Until__c","Social_Security_Number__c","Statement_Preference__c","Verified_Email__c","Vital_Status__c"
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181225.0","15358021","200010.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181226.0","01028468","200011.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181227.0","13569728","200012.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181228.0","77695319","200013.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181229.0","56701517","200014.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181230.0","87276035","200015.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181231.0","85212390","200016.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181232.0","29321096","200017.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181233.0","28013468","200018.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181234.0","89864897","200019.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181235.0","14435880","200020.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181236.0","40711373","200021.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181237.0","91998172","200022.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181238.0","67712981","200023.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181239.0","15064721","200024.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181240.0","70505240","200025.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181241.0","26599330","200026.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181242.0","23138096","200027.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181243.0","53776970","200028.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181244.0","07230596","200029.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181245.0","93965691","200030.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181246.0","16703714","200031.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181247.0","53062596","200032.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181248.0","27463198","200033.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181249.0","22499210","200034.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181250.0","78916853","200035.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181251.0","76082662","200036.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181252.0","55554084","200037.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181253.0","18190005","200038.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
"Makana Health","Green","Charles","","","External Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","false","181254.0","57278421","200039.0","","A02497658","TOLEDO_STAR","","","","M","","XXX-XX-6263","","false",""
