TYPE,STATUS,SUBJECT,SEVERITY__C,CALLERS_NAME__C,Guarantor_Information__r.Guarantor_Id__c,SPECIAL_NOTES__C,CALLER_CONTACT_NUMBER__C,ID__c
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200029,Credit card updated and payment made.,(512) 415-0254,118
Early Out,New,Early Out,Minor,,200029,,,119
Billing,Closed,Dispute of Charges,Minor,,200029,,,120
CC Error,Closed,CC Error,Minor,Charles Green,200030,Guarantor will call back with valid Credit Card,(512) 415-0254,121
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200030,Credit card updated and payment made.,(512) 415-0254,122
Early Out,New,Early Out,Minor,,200030,,,123
Billing,Closed,Dispute of Charges,Minor,,200030,,,124
CC Error,Closed,CC Error,Minor,Charles Green,200031,Guarantor will call back with valid Credit Card,(512) 415-0254,125
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200031,Credit card updated and payment made.,(512) 415-0254,126
Early Out,New,Early Out,Minor,,200031,,,127
Billing,Closed,Dispute of Charges,Minor,,200031,,,128
CC Error,Closed,CC Error,Minor,Charles Green,200032,Guarantor will call back with valid Credit Card,(512) 415-0254,129
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200032,Credit card updated and payment made.,(512) 415-0254,130
Early Out,New,Early Out,Minor,,200032,,,131
Billing,Closed,Dispute of Charges,Minor,,200032,,,132
CC Error,Closed,CC Error,Minor,Charles Green,200033,Guarantor will call back with valid Credit Card,(512) 415-0254,133
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200033,Credit card updated and payment made.,(512) 415-0254,134
Early Out,New,Early Out,Minor,,200033,,,135
Billing,Closed,Dispute of Charges,Minor,,200033,,,136
CC Error,Closed,CC Error,Minor,Charles Green,200034,Guarantor will call back with valid Credit Card,(512) 415-0254,137
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200034,Credit card updated and payment made.,(512) 415-0254,138
Early Out,New,Early Out,Minor,,200034,,,139
Billing,Closed,Dispute of Charges,Minor,,200034,,,140
CC Error,Closed,CC Error,Minor,Charles Green,200035,Guarantor will call back with valid Credit Card,(512) 415-0254,141
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200035,Credit card updated and payment made.,(512) 415-0254,142
Early Out,New,Early Out,Minor,,200035,,,143
Billing,Closed,Dispute of Charges,Minor,,200035,,,144
CC Error,Closed,CC Error,Minor,Charles Green,200036,Guarantor will call back with valid Credit Card,(512) 415-0254,145
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200036,Credit card updated and payment made.,(512) 415-0254,146
Early Out,New,Early Out,Minor,,200036,,,147
Billing,Closed,Dispute of Charges,Minor,,200036,,,148
CC Error,Closed,CC Error,Minor,Charles Green,200037,Guarantor will call back with valid Credit Card,(512) 415-0254,149
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200037,Credit card updated and payment made.,(512) 415-0254,150
Early Out,New,Early Out,Minor,,200037,,,151
Billing,Closed,Dispute of Charges,Minor,,200037,,,152
CC Error,Closed,CC Error,Minor,Charles Green,200038,Guarantor will call back with valid Credit Card,(512) 415-0254,153
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200038,Credit card updated and payment made.,(512) 415-0254,154
Early Out,New,Early Out,Minor,,200038,,,155
Billing,Closed,Dispute of Charges,Minor,,200038,,,156
CC Error,Closed,CC Error,Minor,Charles Green,200039,Guarantor will call back with valid Credit Card,(512) 415-0254,157
Delinquent Payment Plans,Closed,Delinquent Payment Plans,Minor,Charles Green,200039,Credit card updated and payment made.,(512) 415-0254,158
Early Out,New,Early Out,Minor,,200039,,,159
Billing,Closed,Dispute of Charges,Minor,,200039,,,160
