"Account.sPRS__External_Account_Name__c","LastName","FirstName","MiddleName","Suffix","RecordType.Name","OtherStreet","OtherCity","OtherState","OtherPostalCode","MailingStreet","MailingCity","MailingState","MailingPostalCode","MobilePhone","HomePhone","OtherPhone","Email","Birthdate","sPRS__Deleted__c","sPRS__External_Guarantor_Id__c","sPRS__External_ID__c","sPRS__Guarantor__r.sPRS__Guarantor_Id__c","sPRS__Invoice_Offset_Date__c","sPRS__Medical_Record_Number__c","sPRS__Origin_Code__c","sPRS__Guarantor_Id__c","sPRS__Sex__c","sPRS__Social_Security_Number__c","sPRS__Patient_Satisfaction__c","sPRS__Payment_Proclivity_Score__c"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200021","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200022","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200023","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200024","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200025","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200026","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200027","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200028","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200029","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200030","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200031","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200032","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200033","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200034","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200035","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200036","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200037","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200038","M","XXX-XX-6263","4.7","720"
"Makana Health","Green","Charles","","","Guarantor","1221 Congress Ave","Austin","TX","78701","1221 Congress Ave","Austin","TX","78701","(512) 415-0254","(512) 555-0011","","charles.green@sirono.com","1971-06-12","FALSE","","","","7","A02497658","","200039","M","XXX-XX-6263","4.7","720"
